,straat,huisnr,adres,vergunning,vergund tot
1388,Arent van 's-Gravesandestraat,60,Arent van 's-Gravesandestraat 60,alcoholvergunning,2025-07-06
1389,Zomerdoorn,83,Zomerdoorn 83,exploitatievergunning,2024-10-31
1390,Coen Moulijnweg,61,Coen Moulijnweg 61,omgevingsvergunning,2023-07-31
1391,Kogelvangerstraat,115,Kogelvangerstraat 115,exploitatievergunning,2025-06-25
1392,Jacques Nycolaasstraat,153,Jacques Nycolaasstraat 153,terrasvergunning,2026-10-20
1393,Mathenesserplein,58,Mathenesserplein 58,exploitatievergunning,2024-03-14
1394,Doggerstraat,34,Doggerstraat 34,terrasvergunning,2026-05-11
1395,Haverlandstraat,113,Haverlandstraat 113,nachthoreca,2023-08-25
1396,Brinkheide,138,Brinkheide 138,alcoholvergunning,2026-05-29
1397,Tuindersstraat,30,Tuindersstraat 30,exploitatievergunning,2025-07-18
1398,Tochtenweg,130,Tochtenweg 130,exploitatievergunning,2026-04-27
1399,Tromsödreef,95,Tromsödreef 95,terrasvergunning,2027-06-14
1400,Kruiningenstraat,86,Kruiningenstraat 86,omgevingsvergunning,2024-02-21
1401,Hindersteinstraat,59,Hindersteinstraat 59,exploitatievergunning,2026-06-10
1402,Schopenhauerweg,87,Schopenhauerweg 87,exploitatievergunning,2024-02-14
1403,Rockanjestraat,35,Rockanjestraat 35,exploitatievergunning,2023-09-14
1404,Zijdewindestraat,168,Zijdewindestraat 168,alcoholvergunning,2026-09-19
1405,Sneeuwbalstraat,2,Sneeuwbalstraat 2,alcoholvergunning,2022-11-30
1406,Van Poeljeweg,78,Van Poeljeweg 78,terrasvergunning,2026-08-29
1407,Prinsemolenpad,179,Prinsemolenpad 179,exploitatievergunning,2027-01-06
1408,Glazoenowlaan,92,Glazoenowlaan 92,alcoholvergunning,2023-09-10
1409,Sint-Maartensdijkstraat,110,Sint-Maartensdijkstraat 110,exploitatievergunning,2027-02-05
1410,Hansweertstraat,132,Hansweertstraat 132,nachthoreca,2024-06-13
1411,Nassauhavenpad,122,Nassauhavenpad 122,exploitatievergunning,2026-07-08
1412,Gouderakstraat,190,Gouderakstraat 190,alcoholvergunning,2022-10-31
1413,Kees van Hasseltstraat,169,Kees van Hasseltstraat 169,omgevingsvergunning,2024-08-25
1414,Paap Dirckstraat,11,Paap Dirckstraat 11,exploitatievergunning,2023-11-27
1415,Freericksplaats,10,Freericksplaats 10,alcoholvergunning,2026-10-21
1416,Vergiliusstraat,62,Vergiliusstraat 62,omgevingsvergunning,2025-05-22
1417,André van der Louwbrug,187,André van der Louwbrug 187,exploitatievergunning,2023-12-25
1418,Gentiaanstraat,67,Gentiaanstraat 67,exploitatievergunning,2025-05-02
1419,Jan Grijseelshof,163,Jan Grijseelshof 163,exploitatievergunning,2023-06-10
1420,Coolsingel,146,Coolsingel 146,alcoholvergunning,2024-06-30
1421,Lutonbaan,200,Lutonbaan 200,alcoholvergunning,2024-12-28
1422,Noordsingel,82,Noordsingel 82,exploitatievergunning,2025-03-19
1423,Proveniersplein,39,Proveniersplein 39,alcoholvergunning,2025-06-28
1424,Eikvaren,183,Eikvaren 183,exploitatievergunning,2023-04-28
1425,Jufferkade,27,Jufferkade 27,nachthoreca,2024-03-31
1426,Notenoord,91,Notenoord 91,terrasvergunning,2025-06-06
1427,Lodewijk Pincoffsweg,44,Lodewijk Pincoffsweg 44,exploitatievergunning,2027-04-07
1428,Mary Zeldenrust-Noordanuslaan,186,Mary Zeldenrust-Noordanuslaan 186,omgevingsvergunning,2026-09-25
1429,Bergwegplantsoen,18,Bergwegplantsoen 18,exploitatievergunning,2026-04-12
1430,Kogelvangerstraat,119,Kogelvangerstraat 119,exploitatievergunning,2024-12-20
1431,Prinsenplein,74,Prinsenplein 74,nachthoreca,2023-11-14
1432,Oslopad,161,Oslopad 161,alcoholvergunning,2024-06-03
1433,Koekkoekplein,96,Koekkoekplein 96,omgevingsvergunning,2024-08-02
1434,Robbenoordplein,31,Robbenoordplein 31,terrasvergunning,2024-06-14
1435,Turkse tuin,70,Turkse tuin 70,exploitatievergunning,2026-05-30
1436,Finsestraat,35,Finsestraat 35,terrasvergunning,2023-12-21
1437,Johannes Voorhoevestraat,151,Johannes Voorhoevestraat 151,alcoholvergunning,2026-09-18
1438,Erroll Garnerstraat,157,Erroll Garnerstraat 157,terrasvergunning,2024-02-10
1439,Sleutelbloemstraat,165,Sleutelbloemstraat 165,alcoholvergunning,2023-10-18
1440,Luzerneklaver,10,Luzerneklaver 10,exploitatievergunning,2026-11-30
1441,Goudenregenstraat,127,Goudenregenstraat 127,nachthoreca,2023-06-06
1442,Eric Kranspad,44,Eric Kranspad 44,omgevingsvergunning,2025-05-29
1443,Tamarindehof,20,Tamarindehof 20,omgevingsvergunning,2026-05-23
1444,Walenburghof,80,Walenburghof 80,nachthoreca,2026-07-07
1445,Van Swindenhof,10,Van Swindenhof 10,nachthoreca,2024-05-17
1446,Bok de Korverweg,102,Bok de Korverweg 102,terrasvergunning,2024-06-04
1447,Wijmerts,63,Wijmerts 63,terrasvergunning,2024-06-03
1448,Aurorastraat,194,Aurorastraat 194,nachthoreca,2025-11-26
1449,Cor Vaandragerveld,6,Cor Vaandragerveld 6,nachthoreca,2024-07-19
1450,Beyersstraat,102,Beyersstraat 102,exploitatievergunning,2025-04-19
1451,Vestaplein,130,Vestaplein 130,nachthoreca,2026-06-21
1452,Tonnekreek,111,Tonnekreek 111,terrasvergunning,2023-01-21
1453,Boergoensevliet,37,Boergoensevliet 37,alcoholvergunning,2026-03-30
1454,Oudaenstraat,156,Oudaenstraat 156,alcoholvergunning,2023-04-01
1455,Kolibristraat,25,Kolibristraat 25,terrasvergunning,2023-09-05
1456,Jacob van Campenplein,90,Jacob van Campenplein 90,alcoholvergunning,2027-02-03
1457,Lloydkade,14,Lloydkade 14,nachthoreca,2026-05-23
1458,Eskampstraat,102,Eskampstraat 102,omgevingsvergunning,2024-07-23
1459,Lambertweg,145,Lambertweg 145,exploitatievergunning,2026-03-16
1460,Bredestraat,6,Bredestraat 6,omgevingsvergunning,2026-04-07
1461,Merellaan,126,Merellaan 126,terrasvergunning,2025-11-10
1462,Truus Wijsmullerpad,194,Truus Wijsmullerpad 194,terrasvergunning,2025-03-03
1463,Boorn,159,Boorn 159,terrasvergunning,2024-04-14
1464,Kegelstraat,188,Kegelstraat 188,alcoholvergunning,2026-06-07
1465,Baarlandhof,117,Baarlandhof 117,alcoholvergunning,2027-02-01
1466,Halfwegdijk,6,Halfwegdijk 6,omgevingsvergunning,2026-04-06
1467,Egelantierstraat,39,Egelantierstraat 39,terrasvergunning,2023-08-21
1468,André van der Louwbrug,135,André van der Louwbrug 135,nachthoreca,2023-05-04
1469,Erik Satiehof,109,Erik Satiehof 109,alcoholvergunning,2026-11-02
1470,Hernenpad,140,Hernenpad 140,nachthoreca,2025-12-21
1471,Delftsestraat,73,Delftsestraat 73,omgevingsvergunning,2023-07-18
1472,Snellemanstraat,129,Snellemanstraat 129,terrasvergunning,2026-02-05
1473,2e Nieuwstraathof,139,2e Nieuwstraathof 139,omgevingsvergunning,2024-10-29
1474,Schieveensedijk,59,Schieveensedijk 59,omgevingsvergunning,2026-03-19
1475,Vergiliusstraat,75,Vergiliusstraat 75,terrasvergunning,2024-02-11
1476,Wondklaver,124,Wondklaver 124,terrasvergunning,2027-06-03
1477,Vorkstraat,77,Vorkstraat 77,nachthoreca,2025-08-11
1478,Parkhaven,18,Parkhaven 18,nachthoreca,2025-07-01
1479,Teugeweg,39,Teugeweg 39,terrasvergunning,2024-09-26
1480,Theo Verhaarveld,50,Theo Verhaarveld 50,terrasvergunning,2026-07-09
1481,Brautigamstraat,111,Brautigamstraat 111,exploitatievergunning,2027-04-26
1482,Ooievaarstraat,11,Ooievaarstraat 11,omgevingsvergunning,2026-01-03
1483,Krabbendijkestraat,96,Krabbendijkestraat 96,alcoholvergunning,2022-08-16
1484,Oudorpweg,118,Oudorpweg 118,alcoholvergunning,2026-10-28
1485,Wijmerts,196,Wijmerts 196,exploitatievergunning,2024-12-06
1486,Sonia Delaunaystraat,115,Sonia Delaunaystraat 115,exploitatievergunning,2025-09-15
1487,Charley Tooropsingel,27,Charley Tooropsingel 27,nachthoreca,2024-03-05
1488,Sapphostraat,99,Sapphostraat 99,exploitatievergunning,2026-03-05
1489,Bachlaan,131,Bachlaan 131,alcoholvergunning,2023-07-07
1490,Dr. de Visserstraat,152,Dr. de Visserstraat 152,nachthoreca,2023-07-09
1491,Willebrordusstraat,126,Willebrordusstraat 126,nachthoreca,2027-02-19
1492,Brinkheide,182,Brinkheide 182,alcoholvergunning,2027-04-01
1493,Zuidlaardermeer,4,Zuidlaardermeer 4,omgevingsvergunning,2024-07-19
1494,Ganzenoord,120,Ganzenoord 120,omgevingsvergunning,2027-03-10
1495,Hingmanstraat,48,Hingmanstraat 48,omgevingsvergunning,2025-07-27
1496,Groeneweg,94,Groeneweg 94,omgevingsvergunning,2024-07-14
1497,Brigantijnstraat,38,Brigantijnstraat 38,terrasvergunning,2025-12-21
1498,Simon Vestdijkpad,81,Simon Vestdijkpad 81,nachthoreca,2025-09-30
1499,Tacopad,172,Tacopad 172,alcoholvergunning,2026-05-03
1500,Bruijnstraat,106,Bruijnstraat 106,nachthoreca,2026-10-18
1501,Turnstraat,135,Turnstraat 135,exploitatievergunning,2023-04-07
1502,Willem de Rijkestraat,137,Willem de Rijkestraat 137,nachthoreca,2023-08-29
1503,Rozenlaan,26,Rozenlaan 26,nachthoreca,2024-09-29
1504,Arlandabaan Platformzijde,140,Arlandabaan Platformzijde 140,alcoholvergunning,2023-07-14
1505,Gedempte Zalmhaven,181,Gedempte Zalmhaven 181,terrasvergunning,2025-07-28
1506,Drakenburg,122,Drakenburg 122,alcoholvergunning,2026-06-13
1507,Reigerpad,164,Reigerpad 164,terrasvergunning,2026-04-23
1508,De Wurft,113,De Wurft 113,nachthoreca,2024-12-23
1509,Griseldestraat,162,Griseldestraat 162,nachthoreca,2026-07-01
1510,Riet Schoolenbergpad,31,Riet Schoolenbergpad 31,alcoholvergunning,2026-03-03
1511,Pompenburg,43,Pompenburg 43,terrasvergunning,2026-10-19
1512,Geertrui Henningstraat,84,Geertrui Henningstraat 84,nachthoreca,2023-12-02
1513,Philip Vingboonsstraat,197,Philip Vingboonsstraat 197,alcoholvergunning,2023-01-07
1514,Walhallalaan,178,Walhallalaan 178,terrasvergunning,2026-03-22
1515,Dordtselaan,14,Dordtselaan 14,nachthoreca,2022-06-18
1516,Linker Rottekadehof,127,Linker Rottekadehof 127,alcoholvergunning,2024-06-17
1517,Vosmaerstraat,154,Vosmaerstraat 154,terrasvergunning,2025-01-02
1518,Weegschaalhof,22,Weegschaalhof 22,omgevingsvergunning,2024-12-06
1519,Boezemstraat,54,Boezemstraat 54,alcoholvergunning,2024-08-27
1520,2e Carnissestraat,23,2e Carnissestraat 23,terrasvergunning,2023-10-17
1521,Keldermansstraat,85,Keldermansstraat 85,alcoholvergunning,2026-06-18
1522,Wijde Kerkstraat,11,Wijde Kerkstraat 11,alcoholvergunning,2026-12-29
1523,Taandersstraat,10,Taandersstraat 10,alcoholvergunning,2023-03-14
1524,Denenburg,1,Denenburg 1,exploitatievergunning,2023-01-09
1525,Vondelhof,72,Vondelhof 72,exploitatievergunning,2024-09-02
1526,Nietzschestraat,131,Nietzschestraat 131,nachthoreca,2024-08-07
1527,Corrie Hartonglaan,84,Corrie Hartonglaan 84,exploitatievergunning,2025-12-10
1528,Gouvernestraat,17,Gouvernestraat 17,exploitatievergunning,2023-03-01
1529,Papegaaistraat,62,Papegaaistraat 62,nachthoreca,2023-06-02
1530,Augustinusstraat,134,Augustinusstraat 134,omgevingsvergunning,2023-05-13
1531,Molièreweg,153,Molièreweg 153,alcoholvergunning,2022-07-28
1532,Kronenburg,198,Kronenburg 198,terrasvergunning,2024-10-05
1533,Moerkapellestraat,125,Moerkapellestraat 125,nachthoreca,2025-10-08
1534,Kralinger Esch,92,Kralinger Esch 92,exploitatievergunning,2023-09-11
1535,Leo Ottplaats,138,Leo Ottplaats 138,exploitatievergunning,2025-02-17
1536,Spinbolplein,72,Spinbolplein 72,omgevingsvergunning,2024-01-21
1537,Christian Diorstraat,121,Christian Diorstraat 121,terrasvergunning,2024-01-04
1538,Alard Duhameelstraat,157,Alard Duhameelstraat 157,alcoholvergunning,2022-08-23
1539,Pittsburghstraat,147,Pittsburghstraat 147,exploitatievergunning,2025-09-13
1540,Hesselskamp,104,Hesselskamp 104,exploitatievergunning,2026-02-27
1541,Van Heukelomstraat,110,Van Heukelomstraat 110,omgevingsvergunning,2025-04-02
1542,Agnes Cantastraat,94,Agnes Cantastraat 94,omgevingsvergunning,2026-09-01
1543,Solonpad,172,Solonpad 172,exploitatievergunning,2022-10-30
1544,Snoekstraat,4,Snoekstraat 4,exploitatievergunning,2023-07-05
1545,Nassauhaven,131,Nassauhaven 131,exploitatievergunning,2025-08-12
1546,Belgischestraat,50,Belgischestraat 50,exploitatievergunning,2023-08-24
1547,Burgemeester Koningssingel,173,Burgemeester Koningssingel 173,alcoholvergunning,2024-03-04
1548,Wollefoppenweg,180,Wollefoppenweg 180,exploitatievergunning,2026-10-16
1549,Maashavenstraat,16,Maashavenstraat 16,nachthoreca,2024-07-16
1550,Meeuwenlaan,13,Meeuwenlaan 13,terrasvergunning,2024-04-05
1551,Hordijk,173,Hordijk 173,alcoholvergunning,2023-07-02
1552,Schans,56,Schans 56,alcoholvergunning,2024-02-23
1553,Bergpolderplein,149,Bergpolderplein 149,alcoholvergunning,2026-01-20
1554,Assendelftstraat,43,Assendelftstraat 43,alcoholvergunning,2024-07-20
1555,Herman Bavinckstraat,96,Herman Bavinckstraat 96,alcoholvergunning,2022-06-18
1556,Aelbrechtsplein,106,Aelbrechtsplein 106,nachthoreca,2023-05-11
1557,Akkermanstraat,17,Akkermanstraat 17,omgevingsvergunning,2026-03-16
1558,Ovezandepad,154,Ovezandepad 154,nachthoreca,2024-06-14
1559,Marten Meesweg,116,Marten Meesweg 116,omgevingsvergunning,2025-12-31
1560,Oleanderplein,50,Oleanderplein 50,exploitatievergunning,2026-01-25
1561,Rutger van Keulenstraat,106,Rutger van Keulenstraat 106,nachthoreca,2023-12-23
1562,Boudewijnstraat,73,Boudewijnstraat 73,terrasvergunning,2027-06-09
1563,Cassandrastraat,23,Cassandrastraat 23,exploitatievergunning,2023-04-17
1564,Oosteinde,1,Oosteinde 1,exploitatievergunning,2022-12-01
1565,3e Sint-Janshof,175,3e Sint-Janshof 175,exploitatievergunning,2023-11-06
1566,Aploniastraat,167,Aploniastraat 167,omgevingsvergunning,2026-10-31
1567,Duyststraat,31,Duyststraat 31,terrasvergunning,2027-03-11
1568,Govert Terlouwstraat,63,Govert Terlouwstraat 63,alcoholvergunning,2025-02-05
1569,Messchertstraat,23,Messchertstraat 23,alcoholvergunning,2025-12-12
1570,Robert van 't Hoffstraat,143,Robert van 't Hoffstraat 143,alcoholvergunning,2024-08-02
1571,Tinbergenlaan,60,Tinbergenlaan 60,nachthoreca,2025-09-03
1572,Wissekerkestraat,63,Wissekerkestraat 63,terrasvergunning,2024-05-27
1573,Groene Wetering,196,Groene Wetering 196,exploitatievergunning,2026-05-12
1574,Hoevelakensingel,89,Hoevelakensingel 89,nachthoreca,2023-05-17
1575,Burghsluissingel,135,Burghsluissingel 135,exploitatievergunning,2025-12-25
1576,Herman Bavinckstraat,184,Herman Bavinckstraat 184,alcoholvergunning,2026-08-22
1577,Zwijndrechtsestraat,130,Zwijndrechtsestraat 130,omgevingsvergunning,2025-04-08
1578,Oude Binnenweg,181,Oude Binnenweg 181,alcoholvergunning,2026-02-03
1579,Wollefoppenstraat,10,Wollefoppenstraat 10,terrasvergunning,2027-05-08
1580,Schere,82,Schere 82,exploitatievergunning,2025-05-13
1581,Admiraliteitsstraat,25,Admiraliteitsstraat 25,exploitatievergunning,2024-11-16
1582,Van der Vormplein,24,Van der Vormplein 24,terrasvergunning,2026-06-18
1583,Nassauhaven,152,Nassauhaven 152,terrasvergunning,2024-07-08
1584,Berkendaal,18,Berkendaal 18,exploitatievergunning,2023-01-02
1585,Debussylaan,130,Debussylaan 130,exploitatievergunning,2024-09-04
1586,Strevelsweg,1,Strevelsweg 1,alcoholvergunning,2025-10-10
1587,Cortenbachsingel,185,Cortenbachsingel 185,nachthoreca,2027-04-24
1588,Helsinkipad,64,Helsinkipad 64,terrasvergunning,2022-12-31
1589,Troostheide,176,Troostheide 176,nachthoreca,2024-11-24
1590,De Bazelstraat,122,De Bazelstraat 122,exploitatievergunning,2023-12-16
1591,Schaloenstraat,76,Schaloenstraat 76,alcoholvergunning,2027-06-01
1592,Hartmansstraat,98,Hartmansstraat 98,omgevingsvergunning,2022-10-25
1593,Van Somerenweg,122,Van Somerenweg 122,nachthoreca,2023-08-05
1594,Benthemstraat,43,Benthemstraat 43,terrasvergunning,2026-08-11
1595,Adamshofstraat,125,Adamshofstraat 125,terrasvergunning,2025-07-06
1596,Schietbaanstraat,162,Schietbaanstraat 162,alcoholvergunning,2024-09-03
1597,Oeverstraat,134,Oeverstraat 134,omgevingsvergunning,2025-04-21
1598,Rozenlaan,11,Rozenlaan 11,alcoholvergunning,2022-11-03
1599,Sommelsdijkstraat,186,Sommelsdijkstraat 186,nachthoreca,2026-10-02
1600,Dalenoord,197,Dalenoord 197,terrasvergunning,2024-05-06
1601,Maria Stuartlaan,95,Maria Stuartlaan 95,alcoholvergunning,2024-10-13
1602,Mallorcastraat,74,Mallorcastraat 74,omgevingsvergunning,2027-03-23
1603,Dieze,171,Dieze 171,alcoholvergunning,2026-01-09
1604,Willem Coepijnstraat,79,Willem Coepijnstraat 79,alcoholvergunning,2026-07-10
1605,Nijverheidstraat,87,Nijverheidstraat 87,omgevingsvergunning,2025-03-08
1606,Zuidpolderstraat,44,Zuidpolderstraat 44,terrasvergunning,2025-12-26
1607,Sleutelbloemstraat,132,Sleutelbloemstraat 132,nachthoreca,2026-07-29
1608,Platostraat,120,Platostraat 120,terrasvergunning,2023-07-03
1609,Estafettestraat,116,Estafettestraat 116,nachthoreca,2022-10-29
1610,Oosterlandstraat,51,Oosterlandstraat 51,exploitatievergunning,2024-04-07
1611,Dillenburglaan,63,Dillenburglaan 63,nachthoreca,2027-02-18
1612,Cassandrastraat,82,Cassandrastraat 82,nachthoreca,2023-07-08
1613,Schapegras,61,Schapegras 61,omgevingsvergunning,2023-05-18
1614,Benedictuskruid,92,Benedictuskruid 92,exploitatievergunning,2024-07-25
1615,Heer Nicolaesstraat,39,Heer Nicolaesstraat 39,alcoholvergunning,2025-07-29
1616,Paulus Potterstraat,67,Paulus Potterstraat 67,exploitatievergunning,2025-04-04
1617,Bitterkruid,184,Bitterkruid 184,terrasvergunning,2026-10-10
1618,Bovendijk,43,Bovendijk 43,terrasvergunning,2025-07-21
1619,Benthuizerstraat,2,Benthuizerstraat 2,alcoholvergunning,2023-02-04
1620,Timorstraat,62,Timorstraat 62,alcoholvergunning,2023-12-14
1621,Agniesestraat,43,Agniesestraat 43,exploitatievergunning,2025-04-08
1622,Steenhagen,57,Steenhagen 57,terrasvergunning,2023-06-07
1623,Cornelis Heinricksestraat,119,Cornelis Heinricksestraat 119,omgevingsvergunning,2026-05-06
1624,Dalweg,197,Dalweg 197,exploitatievergunning,2026-06-02
1625,Aelbrechtskolk,3,Aelbrechtskolk 3,omgevingsvergunning,2027-01-11
1626,Poldermeesterstraat,115,Poldermeesterstraat 115,exploitatievergunning,2023-04-29
1627,Statenlaan,24,Statenlaan 24,nachthoreca,2023-02-20
1628,Lumeystraat,113,Lumeystraat 113,terrasvergunning,2026-07-10
1629,Italiaansestraat,187,Italiaansestraat 187,terrasvergunning,2025-05-12
1630,Coriet van Alphen-Roosstraat,160,Coriet van Alphen-Roosstraat 160,omgevingsvergunning,2023-12-07
1631,Delistraat,131,Delistraat 131,omgevingsvergunning,2024-03-11
1632,Molensingel,26,Molensingel 26,alcoholvergunning,2026-09-22
1633,Bristolstraat,43,Bristolstraat 43,exploitatievergunning,2025-03-23
1634,Zuidpolderstraat,64,Zuidpolderstraat 64,terrasvergunning,2022-12-12
1635,Imkerstraat,90,Imkerstraat 90,terrasvergunning,2022-09-30
1636,Damloperplein,180,Damloperplein 180,exploitatievergunning,2022-11-05
1637,Valenciadreef,147,Valenciadreef 147,alcoholvergunning,2026-05-17
1638,Zomerdoorn,73,Zomerdoorn 73,exploitatievergunning,2025-09-21
1639,Motorstraat,30,Motorstraat 30,terrasvergunning,2025-07-11
1640,Koppeldijk,38,Koppeldijk 38,terrasvergunning,2024-07-28
1641,Kamerlingh Onnesweg,64,Kamerlingh Onnesweg 64,terrasvergunning,2026-09-10
1642,Jacob Marisplein,137,Jacob Marisplein 137,terrasvergunning,2026-10-30
1643,Crooswijkseweg,3,Crooswijkseweg 3,alcoholvergunning,2026-09-17
1644,Schiedamseweg Beneden,12,Schiedamseweg Beneden 12,nachthoreca,2022-09-27
1645,Davidsstraat,33,Davidsstraat 33,omgevingsvergunning,2023-09-25
1646,Sterremos,119,Sterremos 119,nachthoreca,2023-01-16
1647,Keltenoord,194,Keltenoord 194,nachthoreca,2023-11-04
1648,Gaardermeesterweg,59,Gaardermeesterweg 59,exploitatievergunning,2026-03-24
1649,Burgemeester Hazenberglaan,137,Burgemeester Hazenberglaan 137,omgevingsvergunning,2024-02-29
1650,Paul Desmondsingel,173,Paul Desmondsingel 173,omgevingsvergunning,2023-06-07
1651,Clara Egginkstraat,90,Clara Egginkstraat 90,alcoholvergunning,2027-03-28
1652,Eemhavenweg,41,Eemhavenweg 41,omgevingsvergunning,2023-02-18
1653,Kleine Lindtstraat,127,Kleine Lindtstraat 127,nachthoreca,2023-05-13
1654,Ketelmeer,15,Ketelmeer 15,nachthoreca,2024-10-15
1655,Kromme Wiekstraat,64,Kromme Wiekstraat 64,exploitatievergunning,2027-05-07
1656,Hoge Schiehof,113,Hoge Schiehof 113,alcoholvergunning,2027-02-01
1657,Machiniststraat,6,Machiniststraat 6,terrasvergunning,2025-01-15
1658,Eijsdenstraat,40,Eijsdenstraat 40,exploitatievergunning,2027-02-12
1659,Gardermoenbaan,68,Gardermoenbaan 68,alcoholvergunning,2025-08-01
1660,Zoomstraat,128,Zoomstraat 128,alcoholvergunning,2025-04-15
1661,Theodoor Colenbranderhof,32,Theodoor Colenbranderhof 32,nachthoreca,2025-06-24
1662,Velsenluststraat,36,Velsenluststraat 36,exploitatievergunning,2027-03-05
1663,Kapelstraat,167,Kapelstraat 167,exploitatievergunning,2026-05-08
1664,Delfgaauwstraat,6,Delfgaauwstraat 6,nachthoreca,2024-12-10
1665,Laantje van Vredebest,165,Laantje van Vredebest 165,alcoholvergunning,2025-07-24
1666,Blokmakersstraat,88,Blokmakersstraat 88,terrasvergunning,2027-01-06
1667,Brouwersstraat,146,Brouwersstraat 146,terrasvergunning,2025-05-09
1668,Manuel de Fallapad,86,Manuel de Fallapad 86,omgevingsvergunning,2027-05-02
1669,Levie Vorstkade,89,Levie Vorstkade 89,exploitatievergunning,2025-02-12
1670,Noordsingel,161,Noordsingel 161,terrasvergunning,2024-11-29
1671,Schoonheide,98,Schoonheide 98,alcoholvergunning,2023-08-21
1672,G.B. Shawplaats,172,G.B. Shawplaats 172,terrasvergunning,2023-04-18
1673,François Nivardstraat,55,François Nivardstraat 55,exploitatievergunning,2027-01-02
1674,Tooroplaan,183,Tooroplaan 183,alcoholvergunning,2025-09-23
1675,Olivier van Noortstraat,162,Olivier van Noortstraat 162,omgevingsvergunning,2026-09-13
1676,Jean Sibeliusstraat,12,Jean Sibeliusstraat 12,terrasvergunning,2025-10-26
1677,Taxusstraat,29,Taxusstraat 29,terrasvergunning,2023-09-27
1678,Hang,7,Hang 7,omgevingsvergunning,2025-10-02
1679,Van de Woestijnestraat,162,Van de Woestijnestraat 162,omgevingsvergunning,2023-08-26
1680,Burgemeester Hoffmanstraat,108,Burgemeester Hoffmanstraat 108,omgevingsvergunning,2025-02-19
1681,1e Schansstraat,8,1e Schansstraat 8,nachthoreca,2023-07-28
1682,Graaf Adolf van Nassaustraat,76,Graaf Adolf van Nassaustraat 76,omgevingsvergunning,2026-04-12
1683,Transvaalstraat,38,Transvaalstraat 38,exploitatievergunning,2024-09-10
1684,Aar,116,Aar 116,nachthoreca,2024-02-21
1685,Van Eversdijckstraat,58,Van Eversdijckstraat 58,alcoholvergunning,2025-03-10
1686,Huidenclubplein,131,Huidenclubplein 131,nachthoreca,2027-03-28
1687,Prattenburgplein,8,Prattenburgplein 8,nachthoreca,2026-10-20
1688,Formenterastraat,148,Formenterastraat 148,terrasvergunning,2022-09-03
1689,Tholenstraat,102,Tholenstraat 102,alcoholvergunning,2023-11-07
1690,Drijfhoutstraat,166,Drijfhoutstraat 166,exploitatievergunning,2025-10-08
1691,Denenburg,40,Denenburg 40,terrasvergunning,2026-09-28
1692,Iepenrode,110,Iepenrode 110,exploitatievergunning,2026-01-13
1693,Capelsebrugpad,11,Capelsebrugpad 11,exploitatievergunning,2022-07-25
1694,Aar,168,Aar 168,alcoholvergunning,2025-02-24
1695,Scheepmakershaven,11,Scheepmakershaven 11,alcoholvergunning,2024-10-12
1696,Hovendaal,28,Hovendaal 28,nachthoreca,2027-05-08
1697,Colosseumweg,150,Colosseumweg 150,terrasvergunning,2025-04-24
1698,Groeninxstraat,184,Groeninxstraat 184,exploitatievergunning,2022-11-04
1699,Dirk Smeetslaan,89,Dirk Smeetslaan 89,alcoholvergunning,2023-10-07
1700,Kortewelle,68,Kortewelle 68,omgevingsvergunning,2025-12-05
1701,Van Heusdestraat,92,Van Heusdestraat 92,alcoholvergunning,2023-02-15
1702,Cor Ditewegstraat,9,Cor Ditewegstraat 9,omgevingsvergunning,2027-06-13
1703,Pleretstraat,4,Pleretstraat 4,omgevingsvergunning,2023-10-21
1704,Frankenoord,123,Frankenoord 123,nachthoreca,2022-12-01
1705,De Rotterdamweg,116,De Rotterdamweg 116,omgevingsvergunning,2026-01-12
1706,Bajonetstraat,167,Bajonetstraat 167,exploitatievergunning,2025-12-24
1707,Eijsdenstraat,56,Eijsdenstraat 56,alcoholvergunning,2022-06-16
1708,Van Opbergenstraat,126,Van Opbergenstraat 126,exploitatievergunning,2023-11-29
1709,Veerdam,172,Veerdam 172,alcoholvergunning,2025-09-14
1710,Karmestein,161,Karmestein 161,exploitatievergunning,2022-12-25
1711,Boerhaavestraat,79,Boerhaavestraat 79,exploitatievergunning,2023-06-01
1712,Baardsestraat,152,Baardsestraat 152,terrasvergunning,2025-12-19
1713,Scandinaviëpad,192,Scandinaviëpad 192,exploitatievergunning,2022-07-03
1714,Amerbachstraat,32,Amerbachstraat 32,terrasvergunning,2025-04-21
1715,Mohammed Roemhof,159,Mohammed Roemhof 159,nachthoreca,2026-10-18
1716,Blauwemeer,159,Blauwemeer 159,terrasvergunning,2024-11-17
1717,Museumstraat,159,Museumstraat 159,omgevingsvergunning,2023-09-03
1718,Boterbloem,126,Boterbloem 126,exploitatievergunning,2024-03-01
1719,Veldstraat,152,Veldstraat 152,omgevingsvergunning,2023-03-17
1720,Spaanseweg,48,Spaanseweg 48,alcoholvergunning,2022-09-07
1721,Klipperpad,164,Klipperpad 164,nachthoreca,2023-11-20
1722,Edelweisslaan,154,Edelweisslaan 154,exploitatievergunning,2022-07-27
1723,Suiestraat,7,Suiestraat 7,omgevingsvergunning,2022-08-18
1724,Henri Laurenspad,24,Henri Laurenspad 24,terrasvergunning,2025-08-27
1725,Ferry Wiennekestraat,155,Ferry Wiennekestraat 155,alcoholvergunning,2023-12-22
1726,Baarlandhof,124,Baarlandhof 124,alcoholvergunning,2026-01-19
